                           1                            2                            3                            4                            5 
              version_number                 initial_mass                    initial_z                    burn_min1                    burn_min2 
                        7623      1.5000000000000000E+000      2.0000000000000000E-002      5.0000000000000000E+001      1.0000000000000000E+003 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57                                       58                                       59                                       60 
                            model_number                                 star_age                                star_mass                                   log_dt                               log_xmstar                             log_abs_mdot                                num_zones                           mass_conv_core                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                             he_core_mass                              c_core_mass                              o_core_mass                             si_core_mass                             fe_core_mass                   neutron_rich_core_mass                                   log_LH                                  log_LHe                                   log_LZ                                 log_Lnuc                                 log_Teff                               luminosity                                    log_L                                    log_R                                    log_g                                  gravity                             log_center_T                           log_center_Rho                             log_center_P                                center_mu                                center_ye                              center_abar                                center_h1                               center_he4                               center_c12                               center_o16                              surface_c12                              surface_o16                            total_mass_h1                           total_mass_he4                                       pp                                      cno                                 tri_alfa                        v_div_csound_surf                              num_retries                              num_backups 
                                       1                  1.0000000000000001E-005                  1.4999999999999361E+000                 -4.9999999999999991E+000                  3.3474769709615849E+001                 -8.1931143916461302E+000                                      420                  0.0000000000000000E+000                  9.3584807430094619E-001                  1.4737545913109767E-001                  9.7035676251948644E-002                  2.4081277386195853E-004                  9.3584807430094619E-001                  1.4737545913109767E-001                  9.7035676251948644E-002                  2.4081277386195853E-004                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -2.1072365223338860E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.1072365223338860E+001                  3.6652735135308294E+000                  7.8334241861190117E+002                  2.8939516445692659E+000                  1.6396876316756004E+000                  1.3346053491175871E+000                  2.1607541168022760E+001                  5.4772562643779166E+000                 -3.6388814267379983E+000                  9.9634871539772387E+000                  6.2117303907871213E-001                  8.4999665454630979E-001                  1.2966454152047246E+000                  6.9999999999999996E-001                  2.7997020236474884E-001                  3.4416106108120406E-003                  9.3393731281944965E-003                  3.4416106108120406E-003                  9.3393731281944965E-003                  1.0499999999999561E+000                  4.1995530354710586E-001                 -2.1072365223338860E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  4.1927822613280785E-001                                        0                                        0 
                                       2                  2.2000000000000003E-005                  1.4999999999998594E+000                 -4.9208187539523749E+000                  3.3474769709615828E+001                 -8.1952939514685745E+000                                      420                  1.0141115275575570E-004                  9.2177924005453205E-001                  1.4719503914048651E-001                  9.7035676251953529E-002                  2.4081257354226947E-004                  9.2177924005453205E-001                  1.4719503914048651E-001                  9.7035676251953529E-002                  2.4081257354226947E-004                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -2.1072314705240689E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.1072314705240689E+001                  3.6645928034485884E+000                  7.7830711465895945E+002                  2.8911510004384975E+000                  1.6396487297746980E+000                  1.3346831529193697E+000                  2.1611412503068216E+001                  5.4772545322313553E+000                 -3.6387828011986931E+000                  9.9635831021039003E+000                  6.2117312103509881E-001                  8.4999665454630979E-001                  1.2966454152047246E+000                  6.9999999999999996E-001                  2.7997020236474884E-001                  3.4416106108120397E-003                  9.3393731281944965E-003                  3.4416106108120402E-003                  9.3393731281944965E-003                  1.0499999999999023E+000                  4.1995530354708410E-001                 -2.1072314705240689E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.0266810375656599E+000                                        0                                        0 
                                       3                  3.6400000000000004E-005                  1.4999999999997682E+000                 -4.8416375079047498E+000                  3.3474769709615799E+001                 -8.1981334975002245E+000                                      418                  3.6639774464684596E-005                  9.2177924005458900E-001                  1.4719503907872838E-001                  9.7035676251959191E-002                  1.7187613133320609E-003                  9.2177924005458900E-001                  1.4719503907872838E-001                  9.7035676251959191E-002                  1.7187613133320609E-003                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -2.1072315887401402E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.1072315887401402E+001                  3.6637997992592104E+000                  7.7254167837022021E+002                  2.8879219187738037E+000                  1.6396201973211082E+000                  1.3347402178265229E+000                  2.1614252360182793E+001                  5.4772546498791437E+000                 -3.6387835777777435E+000                  9.9635833999066623E+000                  6.2117315828800179E-001                  8.4999665454630979E-001                  1.2966454152047246E+000                  6.9999999999999996E-001                  2.7997020236474884E-001                  3.4416106108120402E-003                  9.3393731281944965E-003                  3.4416106108120406E-003                  9.3393731281944965E-003                  1.0499999999998357E+000                  4.1995530354705768E-001                 -2.1072315887401402E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -6.2804632505441338E-001                                        0                                        0 
                                       4                  5.3680000000000001E-005                  1.4999999999996596E+000                 -4.7624562618571247E+000                  3.3474769709615764E+001                 -8.2013911116184826E+000                                      417                  3.6639773221060096E-005                  9.2177924005465550E-001                  1.4719503900992301E-001                  9.7035676251966407E-002                  1.7187613000683017E-003                  9.2177924005465550E-001                  1.4719503900992301E-001                  9.7035676251966407E-002                  1.7187613000683017E-003                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -2.1072316877028289E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.1072316877028289E+001                  3.6628586979987729E+000                  7.6575490819537720E+002                  2.8840897891486552E+000                  1.6395863350294086E+000                  1.3348079424098904E+000                  2.1617623184445513E+001                  5.4772548295879053E+000                 -3.6387827494267562E+000                  9.9635838548039271E+000                  6.2117311358451821E-001                  8.4999665454630979E-001                  1.2966454152047246E+000                  6.9999999999999996E-001                  2.7997020236474884E-001                  3.4416106108120410E-003                  9.3393731281944965E-003                  3.4416106108120406E-003                  9.3393731281944982E-003                  1.0499999999997616E+000                  4.1995530354702804E-001                 -2.1072316877028289E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -6.2171957389364862E-001                                        0                                        0 
                                       5                  7.4416000000000000E-005                  1.4999999999995304E+000                 -4.6832750158095005E+000                  3.3474769709615728E+001                 -8.2052571035352990E+000                                      419                  3.6639771693488312E-005                  9.2177924005473411E-001                  1.4719503891201147E-001                  9.7035676251974623E-002                  2.4081269952646962E-004                  9.2177924005473411E-001                  1.4719503891201147E-001                  9.7035676251974623E-002                  2.4081269952646962E-004                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -2.1072271721064443E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.1072271721064443E+001                  3.6617830259384094E+000                  7.5802538054325123E+002                  2.8796837471166805E+000                  1.6395346581341477E+000                  1.3349112962003749E+000                  2.1622768378012481E+001                  5.4772532004303267E+000                 -3.6386853664139305E+000                  9.9636790759139373E+000                  6.2117319554090478E-001                  8.4999665454630979E-001                  1.2966454152047246E+000                  6.9999999999999996E-001                  2.7997020236474884E-001                  3.4416106108120402E-003                  9.3393731281944965E-003                  3.4416106108120410E-003                  9.3393731281944982E-003                  1.0499999999996719E+000                  4.1995530354699229E-001                 -2.1072271721064443E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -7.9144906347623178E-001                                        0                                        0 
                                       6                  9.9299199999999986E-005                  1.4999999999993767E+000                 -4.6040937697618753E+000                  3.3474769709615686E+001                 -8.2097148224624963E+000                                      414                  1.8751497009914808E-006                  9.2177924005482870E-001                  1.4719503885895599E-001                  9.1010173951692752E-002                  1.7187613299129347E-003                  9.2177924005482870E-001                  1.4719503885895599E-001                  9.1010173951692752E-002                  1.7187613299129347E-003                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -2.1072216778364318E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.1072216778364318E+001                  3.6604339407113780E+000                  7.4845656754869333E+002                  2.8741666035819220E+000                  1.6394742568208320E+000                  1.3350320988269619E+000                  2.1628783767669958E+001                  5.4772521351701764E+000                 -3.6385865855588140E+000                  9.9637760140065961E+000                  6.2117322534322716E-001                  8.4999665454630979E-001                  1.2966454152047246E+000                  6.9999999999999996E-001                  2.7997020236474884E-001                  3.4416106108120397E-003                  9.3393731281944965E-003                  3.4416106108120402E-003                  9.3393731281944965E-003                  1.0499999999995633E+000                  4.1995530354694871E-001                 -2.1072216778364318E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -7.7193447556403638E-001                                        0                                        0 
                                       7                  1.2915903999999998E-004                  1.4999999999991946E+000                 -4.5249125237142502E+000                  3.3474769709615629E+001                 -8.2152923673105249E+000                                      420                  9.3757496389458988E-007                  9.2177924005493983E-001                  1.4719503879481233E-001                  9.1010173951703632E-002                  1.7187614274880795E-003                  9.2177924005493983E-001                  1.4719503879481233E-001                  9.1010173951703632E-002                  1.7187614274880795E-003                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -2.1072219441114768E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.1072219441114768E+001                  3.6589631655426849E+000                  7.3820457220447463E+002                  2.8681767307499446E+000                  1.6394208707422284E+000                  1.3351388709841163E+000                  2.1634101900638182E+001                  5.4772523703604756E+000                 -3.6385861196113849E+000                  9.9637769430394947E+000                  6.2117324769496907E-001                  8.4999665454630979E-001                  1.2966454152047246E+000                  6.9999999999999996E-001                  2.7997020236474884E-001                  3.4416106108120406E-003                  9.3393731281944965E-003                  3.4416106108120410E-003                  9.3393731281944982E-003                  1.0499999999994369E+000                  4.1995530354689786E-001                 -2.1072219441114768E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -5.6945618556476607E-001                                        0                                        0 
                                       8                  1.6499084799999998E-004                  1.4999999999989797E+000                 -4.4457312776666260E+000                  3.3474769709615572E+001                 -8.2213356262210535E+000                                      420                  3.6639758633954626E-005                  9.2177924005507061E-001                  1.4719503866385114E-001                  9.1010173951716511E-002                  1.7187613765741547E-003                  9.2177924005507061E-001                  1.4719503866385114E-001                  9.1010173951716511E-002                  1.7187613765741547E-003                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -2.1072223598418546E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.1072223598418546E+001                  3.6573383540842763E+000                  7.2703991264036665E+002                  2.8615582531749508E+000                  1.6393612548715497E+000                  1.3352581027254116E+000                  2.1640042168973466E+001                  5.4772525609319214E+000                 -3.6385851877165245E+000                  9.9637777828247529E+000                  6.2117322534322716E-001                  8.4999665454630979E-001                  1.2966454152047246E+000                  6.9999999999999996E-001                  2.7997020236474884E-001                  3.4416106108120402E-003                  9.3393731281944965E-003                  3.4416106108120410E-003                  9.3393731281944982E-003                  1.0499999999992873E+000                  4.1995530354683813E-001                 -2.1072223598418546E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -5.3082393693917895E-001                                        0                                        0 
                                       9                  2.0798901759999997E-004                  1.4999999999987252E+000                 -4.3665500316190009E+000                  3.3474769709615494E+001                 -8.2280137196666647E+000                                      415                  3.6639740439646600E-005                  9.2177924005522771E-001                  1.4719503855259367E-001                  9.1010173951732276E-002                  1.7187613305334202E-003                  9.2177924005522771E-001                  1.4719503855259367E-001                  9.1010173951732276E-002                  1.7187613305334202E-003                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -2.1072224897433184E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.1072224897433184E+001                  3.6552457147207589E+000                  7.1292857898985847E+002                  2.8530460245163538E+000                  1.6392904192692850E+000                  1.3353997739298675E+000                  2.1647102518720612E+001                  5.4772531329659815E+000                 -3.6385847735410315E+000                  9.9637792896611170E+000                  6.2117324769496896E-001                  8.4999665454630979E-001                  1.2966454152047246E+000                  6.9999999999999996E-001                  2.7997020236474884E-001                  3.4416106108120402E-003                  9.3393731281944965E-003                  3.4416106108120410E-003                  9.3393731281944982E-003                  1.0499999999991076E+000                  4.1995530354676636E-001                 -2.1072224897433184E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -5.2678242629436267E-001                                        0                                        0 
